"Frequency","MOSFET current: Magnitude","MOSFET current: Phase","Diode current: Magnitude","Diode current: Phase"
0,0.38212212973577897,0,6.6068012494966917,0
100000,0.74394675962107959,1.0491786259116875,1.9999717234874756,-2.0129217594291218
200000,0.68499327907297569,2.0977143226234816,1.717170071829925,-1.0055844755182444
300000,0.59298162760685935,-3.138451694048201,1.4622568277949,0.036119992576312029
400000,0.47653874381768563,-2.0944933863239852,1.1693402758507503,1.0887827574304543
500000,0.34636353603551384,-1.0570840169872691,0.84409184976011453,2.1410573677020044
600000,0.2140878539613103,-0.036962932085683041,0.5183141604151148,-3.0958746960692403
700000,0.091377574432927169,0.90586051691545166,0.21554147273354091,-2.0648380968948685
800000,0.022728070777320551,-0.16884745119324107,0.043650249629930443,2.4059224386770111
900000,0.096250716862122651,0.21915806970159313,0.23636776690480912,-3.0078279185697117
1000000,0.14570214065060841,1.2017700511129226,0.35800895915815101,-1.9690900735550576
1100000,0.16546980019642249,2.2248623099193776,0.40615317223239616,-0.91839673035109026
1200000,0.15799756338841447,-3.0269197431185613,0.38687476361894585,0.13339333026490494
1300000,0.12863144343815949,-1.9982364153403764,0.31438337718496834,1.1842033022769316
1400000,0.084662307204592169,-0.98829061276417418,0.20578487785285191,2.2317788958965767
1500000,0.034589592554512438,-0.089221909552934728,0.081191253011338865,-3.0335223761778041
1600000,0.017887030106283619,-1.4494027261559259,0.040157348076247906,1.3464965494574876
1700000,0.057548987158941994,-0.74837775684485697,0.14088534712836842,2.3131785803300366
1800000,0.085363987914312239,0.24539017651534631,0.20940316735485151,-2.9260580478366287
1900000,0.09757758496985644,1.2699749295760088,0.23917582593288922,-1.875897017674907
2000000,0.093934017261425487,2.3007863072185617,0.23010632768345321,-0.82395530057938871
