Frequency,MOSFET current: Magnitude,MOSFET current: Phase,Diode current: Magnitude,Diode current: Phase
13700000.000,0.013,2.744,0.034,-0.393
13800000.000,0.010,1.915,0.026,-1.208
13900000.000,0.004,0.933,0.010,-2.146
14000000.000,0.004,-2.298,0.009,0.772
14100000.000,0.010,2.955,0.024,-0.205
14200000.000,0.013,2.121,0.032,-1.023
14300000.000,0.012,1.304,0.031,-1.828
14400000.000,0.008,0.448,0.019,-2.664
14500000.000,0.002,-1.133,0.003,2.123
14600000.000,0.006,2.390,0.015,-0.789
14700000.000,0.011,1.503,0.028,-1.649
14800000.000,0.013,0.682,0.032,-2.457
14900000.000,0.010,-0.142,0.026,3.015
15000000.000,0.005,-1.066,0.012,2.125
15100000.000,0.002,2.090,0.006,-1.150
15200000.000,0.008,0.902,0.021,-2.262
15300000.000,0.012,0.060,0.029,-3.087
15400000.000,0.012,-0.758,0.029,2.391
15500000.000,0.008,-1.600,0.020,1.566
15600000.000,0.002,-2.796,0.005,0.446
15700000.000,0.005,0.366,0.012,-2.822
15800000.000,0.010,-0.556,0.024,2.573
15900000.000,0.012,-1.380,0.029,1.762
16000000.000,0.010,-2.201,0.025,0.954
16100000.000,0.006,-3.089,0.014,0.092
16200000.000,0.001,0.417,0.003,-2.843
16300000.000,0.007,-1.146,0.017,1.968
16400000.000,0.011,-2.001,0.027,1.133
16500000.000,0.011,-2.819,0.028,0.328
16600000.000,0.008,2.630,0.021,-0.491
16700000.000,0.003,1.597,0.007,-1.471
16800000.000,0.004,-1.633,0.009,1.448
16900000.000,0.008,-2.613,0.021,0.512
17000000.000,0.011,2.841,0.027,-0.302
17100000.000,0.010,2.022,0.025,-1.109
17200000.000,0.006,1.157,0.015,-1.952
17300000.000,0.001,-0.836,0.002,2.351
17400000.000,0.006,3.095,0.014,-0.080
17500000.000,0.009,2.221,0.024,-0.930
17600000.000,0.010,1.402,0.027,-1.737
17700000.000,0.008,0.575,0.021,-2.550
17800000.000,0.004,-0.378,0.009,2.820
17900000.000,0.002,2.701,0.006,-0.523
18000000.000,0.007,1.616,0.018,-1.546
18100000.000,0.010,0.779,0.025,-2.366
